threshold,flagged_positive_rate,sensitivity,specificity,precision,false_negative_rate,false_positive_rate,true_positive,false_positive,false_negative,true_negative,status
0.2,0.55,0.985,0.981,0.985,0.015,0.019,65,1,1,53,passed
0.3,0.542,0.97,0.981,0.985,0.03,0.019,64,1,2,53,passed
0.4,0.533,0.955,0.981,0.984,0.045,0.019,63,1,3,53,passed
0.5,0.533,0.955,0.981,0.984,0.045,0.019,63,1,3,53,passed
0.6,0.533,0.955,0.981,0.984,0.045,0.019,63,1,3,53,passed
0.7,0.525,0.939,0.981,0.984,0.061,0.019,62,1,4,53,strong
0.8,0.525,0.939,0.981,0.984,0.061,0.019,62,1,4,53,strong
