threshold,flagged_positive_rate,sensitivity,specificity,precision,false_negative_rate,false_positive_rate,true_positive,false_positive,false_negative,true_negative,status
0.2,0.61,1.0,0.82,0.859,0.0,0.18,55,9,0,41,passed
0.3,0.543,0.982,0.94,0.947,0.018,0.06,54,3,1,47,passed
0.4,0.495,0.945,1.0,1.0,0.055,0.0,52,0,3,50,strong
0.5,0.495,0.945,1.0,1.0,0.055,0.0,52,0,3,50,strong
0.6,0.495,0.945,1.0,1.0,0.055,0.0,52,0,3,50,strong
0.7,0.495,0.945,1.0,1.0,0.055,0.0,52,0,3,50,strong
0.8,0.495,0.945,1.0,1.0,0.055,0.0,52,0,3,50,strong
