threshold,flagged_positive_rate,sensitivity,specificity,precision,false_negative_rate,false_positive_rate,true_positive,false_positive,false_negative,true_negative,status
0.2,0.683,1.0,0.704,0.805,0.0,0.296,33,8,0,19,passed
0.3,0.667,1.0,0.741,0.825,0.0,0.259,33,7,0,20,passed
0.4,0.65,1.0,0.778,0.846,0.0,0.222,33,6,0,21,passed
0.5,0.483,0.879,1.0,1.0,0.121,0.0,29,0,4,27,acceptable
0.6,0.483,0.879,1.0,1.0,0.121,0.0,29,0,4,27,acceptable
0.7,0.483,0.879,1.0,1.0,0.121,0.0,29,0,4,27,acceptable
0.8,0.483,0.879,1.0,1.0,0.121,0.0,29,0,4,27,acceptable
