threshold,flagged_positive_rate,sensitivity,specificity,precision,false_negative_rate,false_positive_rate,true_positive,false_positive,false_negative,true_negative,status
0.2,0.773,1.0,0.531,0.741,0.0,0.469,43,15,0,17,passed
0.3,0.733,1.0,0.625,0.782,0.0,0.375,43,12,0,20,passed
0.4,0.68,1.0,0.75,0.843,0.0,0.25,43,8,0,24,passed
0.5,0.613,0.977,0.875,0.913,0.023,0.125,42,4,1,28,passed
0.6,0.6,0.977,0.906,0.933,0.023,0.094,42,3,1,29,passed
0.7,0.52,0.884,0.969,0.974,0.116,0.031,38,1,5,31,acceptable
0.8,0.453,0.791,1.0,1.0,0.209,0.0,34,0,9,32,unideal
