name,false_negative_cost,false_positive_cost,purpose,recommended_threshold,weighted_error,sensitivity,specificity,false_negative,false_positive,status
safety_first,5,1,"Prioritizes avoiding missed positive/benefit cases, accepting more review flags.",0.1,0.05,0.985,0.981,1,1,passed
balanced,2,1,Keeps false negatives more expensive while limiting unnecessary review burden.,0.1,0.025,0.985,0.981,1,1,passed
precision_first,1,2,Prioritizes fewer false alarms when review capacity is limited.,0.1,0.025,0.985,0.981,1,1,passed
